start_date,Team,Odds
2023-11-05,Denver Nuggets,1.25
2023-11-05,Chicago Bulls,4.16
2023-11-05,Brooklyn Nets,4.61
2023-11-05,Boston Celtics,1.21
2023-11-05,Houston Rockets,2.18
2023-11-05,Sacramento Kings,1.72
2023-11-05,Minnesota Timberwolves,1.32
2023-11-05,Utah Jazz,3.51
2023-11-05,Indiana Pacers,1.52
2023-11-05,Charlotte Hornets,2.64
2023-11-05,New Orleans Pelicans,1.79
2023-11-05,Atlanta Hawks,2.1
2023-11-05,Orlando Magic,2.38
2023-11-05,Los Angeles Lakers,1.62
2023-11-05,Philadelphia 76ers,1.39
2023-11-05,Phoenix Suns,3.07
2023-11-06,Portland Trail Blazers,2.32
2023-11-06,Memphis Grizzlies,1.65
2023-11-06,Dallas Mavericks,1.18
2023-11-06,Charlotte Hornets,5.31
2023-11-06,Cleveland Cavaliers,1.88
2023-11-06,Golden State Warriors,1.98
2023-11-06,San Antonio Spurs,2.42
2023-11-06,Toronto Raptors,1.6
2023-11-06,Detroit Pistons,2.35
2023-11-06,Phoenix Suns,1.64
2023-11-07,Denver Nuggets,1.4
2023-11-07,New Orleans Pelicans,3.09
2023-11-07,Chicago Bulls,1.58
2023-11-07,Utah Jazz,2.47
2023-11-07,Houston Rockets,2.11
2023-11-07,Sacramento Kings,1.78
2023-11-07,Minnesota Timberwolves,2.36
2023-11-07,Boston Celtics,1.63
2023-11-07,Oklahoma City Thunder,1.94
2023-11-07,Atlanta Hawks,1.92
2023-11-07,Brooklyn Nets,2.62
2023-11-07,Milwaukee Bucks,1.52
2023-11-07,Miami Heat,1.81
2023-11-07,Los Angeles Lakers,2.07
2023-11-07,New York Knicks,1.84
2023-11-07,Los Angeles Clippers,2.03
2023-11-07,Detroit Pistons,4.04
2023-11-07,Golden State Warriors,1.26
2023-11-07,Indiana Pacers,1.28
2023-11-07,San Antonio Spurs,3.89
2023-11-07,Orlando Magic,1.93
2023-11-07,Dallas Mavericks,1.93
2023-11-07,Philadelphia 76ers,1.18
2023-11-07,Washington Wizards,5.17
2023-11-09,Denver Nuggets,1.54
2023-11-09,Golden State Warriors,2.59
2023-11-09,Sacramento Kings,1.31
2023-11-09,Portland Trail Blazers,3.6
2023-11-09,Dallas Mavericks,1.59
2023-11-09,Toronto Raptors,2.46
2023-11-09,Chicago Bulls,1.96
2023-11-09,Phoenix Suns,1.9
2023-11-09,Houston Rockets,2.1
2023-11-09,Los Angeles Lakers,1.78
2023-11-09,Memphis Grizzlies,2.08
2023-11-09,Miami Heat,1.8
2023-11-09,Milwaukee Bucks,1.15
2023-11-09,Detroit Pistons,5.82
2023-11-09,Minnesota Timberwolves,1.24
2023-11-09,New Orleans Pelicans,4.28
2023-11-09,Oklahoma City Thunder,2.1
2023-11-09,Cleveland Cavaliers,1.78
2023-11-09,Brooklyn Nets,2.77
2023-11-09,Los Angeles Clippers,1.48
2023-11-09,New York Knicks,1.26
2023-11-09,San Antonio Spurs,4.02
2023-11-09,Charlotte Hornets,1.75
2023-11-09,Washington Wizards,2.14
2023-11-09,Indiana Pacers,1.43
2023-11-09,Utah Jazz,2.94
2023-11-09,Philadelphia 76ers,2.22
2023-11-09,Boston Celtics,1.7
2023-11-10,Orlando Magic,2.34
2023-11-10,Atlanta Hawks,1.64
2023-11-10,Indiana Pacers,1.99
2023-11-10,Milwaukee Bucks,1.86
2023-11-11,Phoenix Suns,1.73
2023-11-11,Los Angeles Lakers,2.19
2023-11-11,Sacramento Kings,2.04
2023-11-11,Oklahoma City Thunder,1.82
2023-11-11,Dallas Mavericks,1.86
2023-11-11,Los Angeles Clippers,2
2023-11-11,Houston Rockets,1.68
2023-11-11,New Orleans Pelicans,2.26
2023-11-11,Memphis Grizzlies,1.51
2023-11-11,Utah Jazz,2.67
2023-11-11,San Antonio Spurs,3.37
2023-11-11,Minnesota Timberwolves,1.35
2023-11-11,Boston Celtics,1.16
2023-11-11,Brooklyn Nets,5.65
2023-11-11,Detroit Pistons,3.92
2023-11-11,Philadelphia 76ers,1.27
2023-11-11,Washington Wizards,1.67
2023-11-11,Charlotte Hornets,2.28
