start_date,Team,Odds
2023-10-10,Tampa Bay Lightning,1.621118012
2023-10-10,Pittsburgh Penguins,1.4
2023-10-10,Chicago Blackhawks,2.99
2023-10-10,Nashville Predators,2.32
2023-10-10,Seattle Kraken,2.35
2023-10-10,Vegas Golden Knights,1.598802395
2023-10-11,Boston Bruins,1.297619048
2023-10-11,Ottawa Senators,2.57
2023-10-11,Montreal Canadiens,3.31
2023-10-11,Toronto Maple Leafs,1.337837838
2023-10-11,Carolina Hurricanes,1.510204082
2023-10-11,Chicago Blackhawks,3.61
2023-10-11,Colorado Avalanche,1.78125
2023-10-11,Winnipeg Jets,2.13
2023-10-11,Calgary Flames,1.729927007
2023-10-11,Edmonton Oilers,1.628930818
2023-10-11,Los Angeles Kings,2.05
2023-10-11,Vancouver Canucks,2.31
2023-10-12,Buffalo Sabres,2.09
2023-10-12,Detroit Red Wings,2.93
2023-10-12,Florida Panthers,2.12
2023-10-12,Columbus Blue Jackets,1.81300813
2023-10-12,New Jersey Devils,1.414937759
2023-10-12,New York Rangers,1.746268657
2023-10-12,Philadelphia Flyers,2
2023-10-12,Dallas Stars,1.465116279
2023-10-12,Minnesota Wild,1.740740741
2023-10-12,Nashville Predators,1.877192982
2023-10-12,St Louis Blues,2.73
2023-10-12,San Jose Sharks,3
2023-10-12,Seattle Kraken,1.934579439
2023-10-12,Vegas Golden Knights,1.4
2023-10-13,New Jersey Devils,1.4048583
2023-10-13,Pittsburgh Penguins,1.793650794
2023-10-13,Washington Capitals,2.03
2023-10-13,Arizona Coyotes,2.97
2023-10-14,Tampa Bay Lightning,1.8
2023-10-14,Boston Bruins,1.540540541
2023-10-14,Buffalo Sabres,2.19
2023-10-14,Detroit Red Wings,2.03
2023-10-14,Florida Panthers,2.15
2023-10-14,Ottawa Senators,2.2
2023-10-14,Montreal Canadiens,1.662251656
2023-10-14,Toronto Maple Leafs,1.578034682
2023-10-14,Carolina Hurricanes,1.757575758
2023-10-14,Columbus Blue Jackets,2.82
